Date,Description,Price
2026-02-26,paid for a Grab delivery fee,4.50
2026-02-27,bought a pack of batteries,6.50
2026-02-28,bought a box of tea bags,5.90
2026-03-02,bought a bag of frozen spring rolls,6.00
2026-03-03,paid for a can of energy drink,3.50
2026-03-04,topped up LRT card,20.00
2026-03-05,bought a loaf of raisin bread,4.50
2026-03-06,lunch at kedai nasi lemak (rice + sambal + egg),5.00
2026-03-07,bought a bottle of dish soap refill,4.00
2026-03-08,paid for a taxi to the library,5.00
2026-03-09,bought a bag of frozen peas,3.50
2026-03-10,bought a can of corned beef,7.50
2026-03-11,teh tarik kurang manis,1.80
2026-03-12,paid for a printing quota top up,4.00
2026-03-13,bought a packet of instant coffee sachets,6.00
2026-03-14,bought a bottle of bleach,3.50
2026-03-15,lunch at kedai Indian (banana leaf rice),8.00
2026-03-16,bought a pack of sticky notes,3.50
2026-03-17,paid for a bus ride to campus,1.80
2026-03-18,bought a bag of frozen wontons,6.50
2026-03-19,bought a jar of curry paste,5.50
2026-03-20,iced lemon tea at mamak,2.00
2026-03-21,paid for a new mouse pad,8.00
2026-03-22,bought a packet of sugar,2.80
2026-03-23,bought a bag of frozen french beans,4.00
2026-03-24,lunch at kedai Korean (kimchi jjigae),14.00
2026-03-25,bought a bottle of body lotion,9.90
2026-03-26,paid for a Grab ride to the station,7.00
2026-03-27,bought a pack of paper clips,2.00
2026-03-28,bought a box of biscuits,4.90
2026-03-29,bought a bag of frozen breaded prawns,8.00
2026-03-30,paid for a can of soda,2.00
2026-03-31,bought a bottle of cooking oil,7.00
2026-04-02,bought a packet of instant noodles,2.80
2026-04-03,paid for a can of 100 Plus,2.50
2026-04-04,bought a bag of frozen mixed vegetables,5.50
2026-04-05,topped up GrabPay for food delivery,30.00
2026-04-06,bought a loaf of wholemeal bread,3.50
2026-04-07,paid for a shared taxi to campus,6.00
2026-04-08,bought a jar of pasta sauce,6.90
2026-04-09,lunch at kedai mamak (mee goreng),6.00
2026-04-10,bought a bottle of shampoo sachet,2.00
2026-04-11,paid for online journal access,15.00
2026-04-12,bought a pack of chewing gum,1.50
2026-04-13,bought a secondhand water filter,25.00
2026-04-14,teh tarik at mamak,1.80
2026-04-15,bought a bag of frozen french fries,5.00
2026-04-16,paid for a printing top up,3.00
2026-04-17,bought a bottle of vitamin C,12.00
2026-04-18,lunch at kedai nasi kandar (ayam + sayur),8.00
2026-04-19,bought a box of Band-Aids,4.50
2026-04-20,bought a pack of facial tissue,2.50
2026-04-21,paid for a bus ride to the mall,2.00
2026-04-22,bought a bag of frozen chicken nuggets,8.50
2026-04-23,bought a can of tuna flakes,4.90
2026-04-24,iced coffee at roadside stall,2.50
2026-04-25,paid for a library photocopy card top up,5.00
2026-04-26,bought a new toothbrush,3.50
2026-04-27,bought a pack of stationery,6.00
2026-04-28,lunch at kedai tomyam (seafood tomyam),9.00
2026-04-29,bought a bag of frozen cuttlefish balls,6.50
2026-04-30,paid for a Grab ride to friend's house,8.00
2026-05-02,bought a jar of pickles,5.50
2026-05-03,bought a box of cereal,7.90
2026-05-04,paid for a can of sardines,4.50
2026-05-05,bought a bag of frozen spinach,5.00
2026-05-06,topped up water dispenser card,10.00
2026-05-07,bought a packet of milo powder refill,8.50
2026-05-08,lunch at kedai ayam penyet (rice + chicken),8.50
2026-05-09,bought a bottle of hand soap,3.90
2026-05-10,paid for a parking coupon,1.50
2026-05-11,bought a bag of frozen hash browns,5.50
2026-05-12,bought a can of baked beans,3.80
2026-05-13,teh o ais at mamak,1.50
2026-05-14,paid for a group study room rental,10.00
2026-05-15,bought a packet of instant porridge,5.00
2026-05-16,bought a bottle of floor cleaner,5.50
2026-05-17,lunch at kedai western (fish and chips),12.00
2026-05-18,bought a pack of rubber bands,1.50
2026-05-19,paid for a bus pass top up,15.00
2026-05-20,bought a bag of frozen spring rolls,6.00
2026-05-21,bought a jar of mayonnaise,6.90
2026-05-22,iced milo at mamak,2.50
2026-05-23,paid for a printer ink cartridge,25.00
2026-05-24,bought a packet of tissue paper,1.80
2026-05-25,bought a bag of frozen samosas,7.00
2026-05-26,lunch at kedai Thai (green curry),9.50
2026-05-27,bought a bottle of mouthwash,7.90
2026-05-28,paid for a Grab delivery fee,4.50
2026-05-29,bought a pack of batteries,6.50
2026-05-30,bought a box of tea bags,5.90
2026-06-02,bought a bag of onions,2.50
2026-06-03,paid for a can of energy drink,3.50
2026-06-04,bought a bag of frozen mixed seafood,10.00
2026-06-05,topped up LRT card,20.00
2026-06-06,bought a loaf of raisin bread,4.50
2026-06-07,lunch at kedai nasi lemak (rice + sambal + egg),5.00
2026-06-08,bought a bottle of dish soap refill,4.00
2026-06-09,paid for a taxi to the library,5.00
2026-06-10,bought a bag of frozen peas,3.50
2026-06-11,bought a can of corned beef,7.50
2026-06-12,teh tarik kurang manis,1.80
2026-06-13,paid for a printing quota top up,4.00
2026-06-14,bought a packet of instant coffee sachets,6.00
2026-06-15,bought a bottle of bleach,3.50
2026-06-16,lunch at kedai Indian (banana leaf rice),8.00
2026-06-17,bought a pack of sticky notes,3.50
2026-06-18,paid for a bus ride to campus,1.80
2026-06-19,bought a bag of frozen wontons,6.50
2026-06-20,bought a jar of curry paste,5.50
2026-06-21,iced lemon tea at mamak,2.00
2026-06-22,paid for a new mouse pad,8.00
2026-06-23,bought a packet of sugar,2.80
2026-06-24,bought a bag of frozen french beans,4.00
2026-06-25,lunch at kedai Korean (kimchi jjigae),14.00
2026-06-26,bought a bottle of body lotion,9.90
2026-06-27,paid for a Grab ride to the station,7.00
2026-06-28,bought a pack of paper clips,2.00
2026-06-29,bought a box of biscuits,4.90
2026-06-30,bought a bag of frozen breaded prawns,8.00
